Plugin id,Path,Community,Needs to be split?,Third Party Repo URL,Custom URL,Version in third party repo,Version in our repo,Third Party Commit Hash,Last commit hash on monorepo,In sync,,URL
customcertelement_image,/mod/customcert/element/image,Yes,,https://github.com/mdjnelson/moodle-mod_customcert,,2025122800,2023042400,304e4d01e2a0281ffced7b82cf0ee36791e9e1df,,No,,https://github.com/mdjnelson/moodle-mod_customcert
customcertelement_qrcode,/mod/customcert/element/qrcode,Yes,,https://github.com/mdjnelson/moodle-mod_customcert,,2025122800,2023042400,304e4d01e2a0281ffced7b82cf0ee36791e9e1df,,No,,https://github.com/mdjnelson/moodle-mod_customcert
customcertelement_studentname,/mod/customcert/element/studentname,Yes,,https://github.com/mdjnelson/moodle-mod_customcert,,2025122800,2023042400,304e4d01e2a0281ffced7b82cf0ee36791e9e1df,,No,,https://github.com/mdjnelson/moodle-mod_customcert
customcertelement_teachername,/mod/customcert/element/teachername,Yes,,https://github.com/mdjnelson/moodle-mod_customcert,,2025122800,2023042400,304e4d01e2a0281ffced7b82cf0ee36791e9e1df,,No,,https://github.com/mdjnelson/moodle-mod_customcert
customcertelement_text,/mod/customcert/element/text,Yes,,https://github.com/mdjnelson/moodle-mod_customcert,,2025122800,2023042400,304e4d01e2a0281ffced7b82cf0ee36791e9e1df,,No,,https://github.com/mdjnelson/moodle-mod_customcert
customcertelement_userfield,/mod/customcert/element/userfield,Yes,,https://github.com/mdjnelson/moodle-mod_customcert,,2025122800,2023042400,304e4d01e2a0281ffced7b82cf0ee36791e9e1df,,No,,https://github.com/mdjnelson/moodle-mod_customcert
customcertelement_userpicture,/mod/customcert/element/userpicture,Yes,,https://github.com/mdjnelson/moodle-mod_customcert,,2025122800,2023042400,304e4d01e2a0281ffced7b82cf0ee36791e9e1df,,No,,https://github.com/mdjnelson/moodle-mod_customcert
quiz_downloadsubmissions,/mod/quiz/report/downloadsubmissions,Yes,,https://github.com/IITBombayWeb/moodle-quiz_downloadsubmissions,,2020100700,2020100700,28aef9d8f1fd79d7b01d473ca4d43e33efe15158,4d8e289890a29de2a16ef50924a81c7ecbb54430,Yes,,https://github.com/IITBombayWeb/moodle-quiz_downloadsubmissions
block_backadel,/blocks/backadel,Yes,,DEFUNCT?,https://github.com/lsuits/lsu-block_backadel,2016031713,2016031713,57e19e42294740a075994f2270b2a8fb7d596590,fbccac2b0cf9c4e18560cce005347c435e4e739f,Yes,,https://github.com/lsuits/lsu-block_backadel
block_ce_enrollinfo,/blocks/ce_enrollinfo,No,,,https://github.com/lsuonline/moodle-block_ce_enrollinfo,2025101000,2025101000,d571e1d1cdd4fa97f075781d375687f9378d6ba4,d571e1d1cdd4fa97f075781d375687f9378d6ba4,Yes,,https://github.com/lsuonline/moodle-block_ce_enrollinfo
block_configurable_reports,/blocks/configurable_reports,Yes,,https://github.com/ULCC/moodle-block_configurable_reports,,2011040102,2024051300,b1af291f520190d0e1c4bbf8139db3fbe00c21df,,No,,https://github.com/ULCC/moodle-block_configurable_reports
block_course_hider,/blocks/course_hider,Yes,,https://github.com/ffhs/moodle-block_course_checker,https://github.com/lsuonline/moodle-block-course_hider,2023091200,2024010900,6779715635f440e394345aba3df5caa929578815,,No,,https://github.com/lsuonline/moodle-block-course_hider
block_cps,/blocks/cps,No,,,,,2019103100,,,No,,
block_csv_profile,/blocks/csv_profile,No,Yes,,,,2018020800,,,No,,
block_etextbook,/blocks/etextbook,Yes,,DEFUNCT?,https://github.com/lsuonline/moodle-block_etextbook,2025110400,2025110400,c23b88f359b2b615825655e25ec6055b23e7d0c6,c23b88f359b2b615825655e25ec6055b23e7d0c6,No,,https://github.com/lsuonline/moodle-block_etextbook
